Batch No.,공정명,작업실,시작,종료
147,b,R-1107,2021-06-10 13:37,2021-06-11 03:50
148,a,R-1108,2021-06-10 20:00,2021-06-11 04:02
148,b,R-1108,2021-06-11 04:02,2021-06-11 19:10
149,a,R-1107,2021-06-12 00:30,2021-06-12 08:36
149,b,R-1107,2021-06-12 08:36,2021-06-12 22:30
150,a,R-1108,2021-06-13 23:30,2021-06-14 07:31
150,b,R-1108,2021-06-14 07:31,2021-06-14 20:50
151,a,R-1107,2021-06-15 06:00,2021-06-15 14:05
151,b,R-1107,2021-06-15 14:05,2021-06-16 09:40
152,a,R-1108,2021-06-16 16:30,2021-06-17 00:32
152,b,R-1108,2021-06-17 00:32,2021-06-17 14:40
153,a,R-1107,2021-06-17 15:10,2021-06-17 23:35
153,b,R-1107,2021-06-17 23:35,2021-06-18 14:30
154,a,R-1108,2021-06-18 19:08,2021-06-19 03:12
154,b,R-1108,2021-06-19 03:12,2021-06-19 18:00
155,a,R-1107,2021-06-19 15:00,2021-06-19 23:31
155,b,R-1107,2021-06-19 23:31,2021-06-20 14:05
156,a,R-1108,2021-06-20 13:40,2021-06-20 21:31
156,b,R-1108,2021-06-20 21:31,2021-06-21 14:25
157,a,R-1107,2021-06-22 02:00,2021-06-22 09:46
157,b,R-1107,2021-06-22 09:46,2021-06-22 22:40
158,a,R-1108,2021-06-22 13:00,2021-06-22 21:01
158,b,R-1108,2021-06-22 21:01,2021-06-23 10:40
159,a,R-1107,2021-06-23 15:30,2021-06-23 23:15
159,b,R-1107,2021-06-23 23:15,2021-06-24 13:36
160,a,R-1108,2021-06-24 10:30,2021-06-24 18:21
160,b,R-1108,2021-06-24 18:21,2021-06-25 09:11
161,a,R-1107,2021-06-25 14:06,2021-06-25 22:08
161,b,R-1107,2021-06-25 22:08,2021-06-26 13:25
162,a,R-1108,2021-06-26 20:10,2021-06-27 04:17
162,b,R-1108,2021-06-27 04:17,2021-06-27 19:15
163,a,R-1107,2021-06-28 03:30,2021-06-28 11:21
163,b,R-1107,2021-06-28 11:21,2021-06-29 08:00
164,a,R-1108,2021-06-28 23:00,2021-06-29 07:21
164,b,R-1108,2021-06-29 07:21,2021-06-29 21:25
165,a,R-1107,2021-06-30 01:00,2021-06-30 09:01
165,b,R-1107,2021-06-30 09:01,2021-06-30 23:05
166,a,R-1108,2021-06-30 16:05,2021-07-01 00:05
166,b,R-1108,2021-07-01 00:05,2021-07-02 00:45
167,a,R-1107,2021-07-01 22:30,2021-07-02 06:35
167,b,R-1107,2021-07-02 06:35,2021-07-02 20:28
168,a,R-1108,2021-07-02 21:38,2021-07-03 05:25
168,b,R-1108,2021-07-03 05:25,2021-07-03 19:19
169,a,R-1107,2021-07-03 20:46,2021-07-04 04:31
169,b,R-1107,2021-07-04 04:31,2021-07-04 20:12
170,a,R-1108,2021-07-04 21:04,2021-07-05 04:47
170,b,R-1108,2021-07-05 04:47,2021-07-05 19:00
171,a,R-1107,2021-07-05 22:40,2021-07-06 06:31
171,b,R-1107,2021-07-06 06:31,2021-07-06 20:15
172,a,R-1108,2021-07-07 08:50,2021-07-07 16:36
172,b,R-1108,2021-07-07 16:36,2021-07-08 05:39
173,a,R-1107,2021-07-08 23:15,2021-07-09 07:20
173,b,R-1107,2021-07-09 07:20,2021-07-09 21:20
174,a,R-1108,2021-07-09 10:40,2021-07-09 18:20
174,b,R-1108,2021-07-09 18:20,2021-07-10 08:00
175,a,R-1107,2021-07-10 18:40,2021-07-11 02:42
175,b,R-1107,2021-07-11 02:42,2021-07-11 17:26
176,a,R-1108,2021-07-11 14:30,2021-07-11 22:32
176,b,R-1108,2021-07-11 22:32,2021-07-12 11:25
177,a,R-1107,2021-07-12 16:00,2021-07-12 23:46
177,b,R-1107,2021-07-12 23:46,2021-07-13 19:05
178,a,R-1108,2021-07-13 14:00,2021-07-13 22:02
178,b,R-1108,2021-07-13 22:02,2021-07-14 12:11
179,a,R-1107,2021-07-15 02:30,2021-07-15 10:31
179,b,R-1107,2021-07-15 10:31,2021-07-16 02:30
180,a,R-1108,2021-07-15 12:30,2021-07-15 20:37
180,b,R-1108,2021-07-15 20:37,2021-07-16 10:45
181,a,R-1107,2021-07-16 21:00,2021-07-17 05:00
181,b,R-1107,2021-07-17 05:00,2021-07-17 20:08
